Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,38.03956301553786,216.1174851782259,228.106329363659,237.6631427787553,308.2246075717639,234.3232492001389,290.8386350507967,332.5034499681352,268.3375513814529,,134.5064913838761,,114.0891234377248,,389.1791429672213,,881.107021018184
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7456385820435,2100.157173792931,3955.630980463457,5350.150055136043,6456.338162179064,7593.83215377908,8397.47767578875,8662.057619859763,8775.758288578148,,8324.546989856182,,8982.11366409177,,10389.20750046528,,12847.91239186007
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,36.21913387554497,180.5138244291448,192.5026686145778,201.9525951014933,279.5522973401546,266.1577255708645,378.0787645609959,462.6304819271222,451.5245495964745,,263.2671080359144,,143.2280107185721,,389.1791429672214,,885.464000334662
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,2050.164520686183,3771.251882174171,5304.192478222789,6368.367557846836,7660.305351286172,8488.401063148856,8895.519781973564,9140.221720490375,,8462.023037357021,,9220.641451163065,,10473.24367474468,,13203.60138874391
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.97166611786345,169.4949723524019,181.4838165378349,192.7861004940089,272.3548619715798,358.3471034352276,486.6161243782459,618.5177463090168,648.5657986452645,,396.1784542044758,,203.1114252834416,,394.9652524479378,,918.230543151886
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,2011.090253306601,3570.409333590394,5245.736674886372,6321.45033339914,7705.115476029809,8596.63653796743,9317.695878519567,9435.091127719856,,8784.637366344694,,9201.106841795308,,10137.81026875278,,12608.66429435394
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,40.66347312874294,51.64135460943478,58.34106890105198,62.95534314732407,103.760399356353,161.1391168637628,255.6366351499118,339.3704700154948,,643.2188006283907,,761.7753816326941,,821.4026867556365,,1311.404417212433
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,1676.16959144494,2125.864534040467,2832.884406473328,3808.500847660595,5338.474898559215,6337.846439124389,6762.202117484371,7882.013369096126,,9935.990668072229,,10914.1258234827,,12280.86935851641,,14581.28877147087
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,39.44978656249999,44.146573125,51.45529550514603,47.71943758612129,35.53188342955663,55.00065557623569,87.1265250452241,134.2966983909883,202.8179500943682,,634.9908047619567,,999.3139588315964,,1109.833291817163,,1451.265829745221
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7317881283179,1250.655036726141,1809.61117897835,2319.323954530719,3151.864478715879,4536.761932675488,5378.004613339059,6149.854196888464,6709.859810643412,,9154.159878897575,,10707.3279954763,,11843.44776497018,,13347.95099875897
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.92995890873235,39.57107497706519,48.9149508445009,53.52921389889779,71.64663837669067,190.7108856720366,480.7212607757402,989.9563340872112,1614.864565957222,,3077.03967632804,,3501.465440446336,,2881.923153400507,,2530.304162763005
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7766042789356,1098.31423896774,1480.828908450577,2235.588403741526,3307.530596990608,5223.28785587004,7298.191215049298,9516.636834277744,11329.57747115721,,15550.92339873961,,17113.15807297728,,16704.08232085363,,17385.00134556495
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,37.71220854125687,134.3736601718443,146.3625043572774,157.0674866484763,165.0480886204718,116.0748027236484,146.5918690865623,173.6038111499521,139.9189406366997,,217.5854829959182,,370.4930388944416,,717.1189498842232,,1422.798527218211
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7456385820435,2058.322246338395,3541.919470136419,4822.567104570182,5485.605769092504,6218.059347876521,6795.398095614664,7052.506649978055,7299.489778410956,,8392.333953336229,,9798.257886027302,,11426.14162197105,,14313.54451664906
