,scenario,model,mean_value,mean_value_2050,region
184,EN_NPi2020_400,REMIND-MAgPIE 2.1-4.2,2.588926687048292,3.7555452841538908,R10INDIA+
185,EN_NPi2020_400f,REMIND-MAgPIE 2.1-4.2,2.124510554868328,2.6892456219691945,R10INDIA+
186,EN_NPi2020_500,REMIND-MAgPIE 2.1-4.2,2.3616105801394895,3.301563030445248,R10INDIA+
187,EN_NPi2020_500f,REMIND-MAgPIE 2.1-4.2,2.1056340102191826,2.6333790294744457,R10INDIA+
188,EN_NPi2020_600,REMIND-MAgPIE 2.1-4.2,2.1891049359237518,2.8799546386369546,R10INDIA+
189,EN_NPi2020_600_COV,REMIND-MAgPIE 2.1-4.2,2.0349343158828526,2.671149260888755,R10INDIA+
190,EN_NPi2020_600f,REMIND-MAgPIE 2.1-4.2,2.075292554117607,2.569067777039493,R10INDIA+
191,EN_NPi2020_600f_COV,REMIND-MAgPIE 2.1-4.2,2.037848941811997,2.5028613535617668,R10INDIA+
192,SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,1.1833489163133981,1.9716868740720228,R10INDIA+
193,SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,1.4001944645361448,2.2033085054610426,R10INDIA+
194,SusDev_SSP2-PkBudg900,REMIND-MAgPIE 2.1-4.2,2.1112973704316746,2.690782542049656,R10INDIA+
195,DeepElec_SSP2_ HighRE_Budg900,REMIND-MAgPIE 2.1-4.3,1.661310336059107,2.350203827269233,R10INDIA+
196,DeepElec_SSP2_def_Budg1100,REMIND-MAgPIE 2.1-4.3,1.5613786482824823,2.0296176646536797,R10INDIA+
197,DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,1.6754991367973338,2.2299951829225244,R10INDIA+
198,EN_INDCi2030_500f,WITCH 5.0,0.5412449218460833,0.7027872580227887,R10INDIA+
199,EN_NPi2020_400f,WITCH 5.0,0.5359292845190008,0.7120233731723671,R10INDIA+
200,EN_NPi2020_450,WITCH 5.0,0.5543253797707861,0.7970818765330692,R10INDIA+
201,EN_NPi2020_450f,WITCH 5.0,0.5275611320828537,0.6988709538192375,R10INDIA+
202,EN_NPi2020_500,WITCH 5.0,0.5478652861292903,0.7651902626376683,R10INDIA+
203,EN_NPi2020_500f,WITCH 5.0,0.5242896869751417,0.6922804874018582,R10INDIA+
204,SSP1_SPA1_19I_D,IMAGE 3.2,0.5157145857142371,0.9278839957219815,R10AFRICA
205,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.5347472010954514,0.9855352401546466,R10AFRICA
206,SSP1_SPA1_19I_LI,IMAGE 3.2,0.48455787857709937,0.8883146880962044,R10AFRICA
207,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.6789791606785228,1.05234167764015,R10AFRICA
