model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.4083355538048424,0.7388971108115804,0.5968316810607942,0.33815710125040466,0.11192894189368618,0.36679307428218816,0.9666908071196605
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.7998657317462717,0.7738317294223064,1.0,0.8657992264733472,0.18477357387013332,0.4633791281780952,0.9472771060155538
WITCH 5.0,ENGAGE-INDCi2030-1000,0.2648228378243151,0.36702447043218367,0.0,0.3599112788253466,0.2692813238440257,0.8082010383345789,0.5574813841077234
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.2768000015443538,0.3647515252360138,0.0,0.381626323714717,0.19884219985975204,0.696973199425817,0.3755652782121033
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.2723524619199037,0.34714500682449245,0.0,0.3766128499488574,0.2852722372718444,0.7990200576442223,0.47630389899974257
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.2772709943056825,0.34774698788065067,0.0,0.3861146409545529,0.2296159395658998,0.6907013978082813,0.2951795052177036
WITCH 5.0,ENGAGE-INDCi2030-1200,0.2879935554004077,0.37510746572931214,0.0,0.39328365410784105,0.3190223353665315,0.8023573832566779,0.40271444928062405
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.2911303415283545,0.3659175504002147,0.0,0.39150724328626424,0.24424642768702157,0.6948988633602206,0.24747093433590714
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.277971156938112,0.3670687515847837,0.0,0.38722779254885253,0.321696000651548,0.7988422211022317,0.3627467330982253
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.2817576226407888,0.35697414171304165,0.0,0.3894602229113046,0.23895188286420652,0.6916945060674469,0.23469853408654467
WITCH 5.0,ENGAGE-INDCi2030-1400,0.2941811874607151,0.3674831814952022,0.0,0.407007117397129,0.3377141032297264,0.8007457217601124,0.2555193516804152
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.295490480912775,0.35710373678968516,0.0,0.41474376037462585,0.2587593615358385,0.693198610100884,0.18521732472128882
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.2864022078040351,0.3672184052477883,0.0,0.39590995076495844,0.3297468184180473,0.7992909028428264,0.2519136503122285
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.2914723942987886,0.35744281208418655,0.0,0.4025405962279889,0.25428086519272286,0.6912485195400113,0.18179761971822955
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.3108723377105896,0.36527734599878336,0.0,0.44876862156844355,0.32067482751008697,0.6903786852431688,0.13776637706426698
WITCH 5.0,ENGAGE-INDCi2030-500f,0.2681623624444699,0.3503564406807573,0.0,0.3436599884091794,0.2565370031456473,0.811683936692153,0.8710989830920203
WITCH 5.0,ENGAGE-INDCi2030-600f,0.2627242408778327,0.34738590786363616,0.0,0.34954072530676605,0.2625002949990853,0.806182241713022,0.7752180549852724
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.2698570734640782,0.33567822990432167,0.0,0.3596944309077473,0.17927414021776264,0.696938822961906,0.5779262193711197
WITCH 5.0,ENGAGE-INDCi2030-700f,0.2634776833346444,0.34584497393062025,0.0,0.35767706022376716,0.2706666343164679,0.802419286484688,0.6938282364316029
