model,scenario,flexibility_score,region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,38.57669233433644,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,38.79094040443071,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,38.71682535473043,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,38.718750001049195,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,38.80067743154221,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,38.93122612271815,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,38.83866625036793,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,38.95245782176104,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,38.82553011480064,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,38.915328324587016,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,38.29999603852486,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,38.33534661995224,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,38.45675047886407,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,38.53233150277093,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,38.54983827453287,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,38.40911660549706,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,38.621121689586744,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,38.596375399700705,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,38.6612729998822,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,38.23946309604125,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,38.74414530306693,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,38.942197130529294,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,39.05094420831743,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,39.023188248749555,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,38.885900982667714,R10AFRICA
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,37.99977718173205,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,37.979975259823554,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,37.97632682233547,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,37.69152401144359,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,37.689454658514734,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,37.365244511821516,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,37.37735029866322,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,37.29867570315444,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,37.72306291613224,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,37.6845054282865,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,36.33955852969425,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000,39.140941308275565,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,39.08762458282857,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000f,39.16752475158878,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,39.12602449996859,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200,39.183400869875655,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,39.138466681149275,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200f,39.19788828054335,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,39.16073300331383,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400,39.226363547669344,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,39.18645053183327,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400f,39.22860649229938,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,39.19223593984425,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,39.2165782049089,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-500f,39.050556403994385,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-600f,39.07544996787479,R10AFRICA
