model,scenario,Final energy per cap reductions,Share of final energy from electricity,region
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,-0.001236701666818111,0.16400601989352676,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.0,0.08677600447994666,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.0,0.08240141007082935,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,-0.0006503625718871121,0.1513390082515242,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.0,0.1698488370758473,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,-0.0037646923056379976,0.13214603312577347,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,-0.0028056882355635884,0.10883613344132567,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,-0.003370884397668184,0.1298396287792628,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,-0.0020707241369679018,0.07765759062230998,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,-0.002218555792848978,0.07131064990048297,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,-0.00031213053570273985,0.11719237894442025,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,-0.0007598243057357016,0.14033315181120243,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,-0.0016096266023032033,0.1382346993462144,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),-0.0003560065648648119,0.13863063978384266,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,-0.001365293023730306,0.1271699564798709,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,-0.0020296260189103695,0.145142223366427,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,-0.0023917997226104697,0.1199892967903066,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,-0.0029525230627345835,0.12437979001982882,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,-0.001330878852029812,0.15474571315161736,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,-0.0017122550440455651,0.12243255164549857,R10AFRICA
