,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
189,EN_NPi2020_600_COV,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
190,EN_NPi2020_600f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
191,EN_NPi2020_600f_COV,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
192,SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
193,SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
194,SusDev_SSP2-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
195,DeepElec_SSP2_ HighRE_Budg900,REMIND-MAgPIE 2.1-4.3,0.0,0.0,1,R10INDIA+
196,DeepElec_SSP2_def_Budg1100,REMIND-MAgPIE 2.1-4.3,0.0,0.0,1,R10INDIA+
197,DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,0.0,0.0,1,R10INDIA+
198,EN_INDCi2030_500f,WITCH 5.0,-2.0374513326482102e-09,1.2922191622299906e-08,1,R10INDIA+
199,EN_NPi2020_400f,WITCH 5.0,-5.2032073372121346e-09,1.2919611609707449e-08,1,R10INDIA+
200,EN_NPi2020_450,WITCH 5.0,-3.2075082520566234e-09,1.2919611609707449e-08,1,R10INDIA+
201,EN_NPi2020_450f,WITCH 5.0,-4.9650688352387284e-09,1.2919611609707449e-08,1,R10INDIA+
202,EN_NPi2020_500,WITCH 5.0,-3.2075082520566234e-09,1.2919611609707449e-08,1,R10INDIA+
203,EN_NPi2020_500f,WITCH 5.0,-2.010340484359663e-09,1.2919611609707449e-08,1,R10INDIA+
204,SSP1_SPA1_19I_D,IMAGE 3.2,0.02588490763468175,0.07314656796640841,1,R10AFRICA
205,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.0258589598219362,0.07353755897422488,0,R10AFRICA
206,SSP1_SPA1_19I_LI,IMAGE 3.2,0.030041753788410105,0.03648266274267552,1,R10AFRICA
207,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.026694935834976077,0.03589994345944847,1,R10AFRICA
208,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.026577024289850537,0.03586370990972683,1,R10AFRICA
209,SSP1_SPA1_19I_RE,IMAGE 3.2,0.027890001874480555,0.07542840194878571,1,R10AFRICA
210,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.02583997697949353,0.07434362956619651,0,R10AFRICA
211,SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.022902979546084404,0.08641555417280025,1,R10AFRICA
212,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.01427621332185762,0.014811835295263018,1,R10AFRICA
213,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,0.022920608551649332,0.08786383421684693,1,R10AFRICA
214,SSP2_SPA2_19I_D,IMAGE 3.2,0.02303192396601482,0.08581388029119316,1,R10AFRICA
215,SSP2_SPA2_19I_LI,IMAGE 3.2,0.014377041409532318,0.013222143068754008,1,R10AFRICA
216,SSP2_SPA2_19I_LIRE,IMAGE 3.2,0.014312767486279326,0.014388800626557147,1,R10AFRICA
217,SSP2_SPA2_19I_RE,IMAGE 3.2,0.021092480923976184,0.0845449428447545,1,R10AFRICA
