Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Land Cover|Forest|Natural Forest,million ha,257.54902890625004,250.80199179687503,246.28341562500003,246.35116887512208,247.1790510437012,248.7568499084473,252.86865852050784,,262.4416347305298,,268.06753437500004,,274.7602652130127,,281.65183234558106,,270.82012539062504
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Population,million,1280.9736824035645,1410.7960777282717,1541.4149551391602,1671.6804504394531,1800.1835174560547,1924.6408462524407,2043.298000335693,,2250.3070907592773,,2420.7660064697266,,2551.7769050598145,,2641.683658599853,,2694.374126434326
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Primary Energy|Biomass,EJ/yr,11.459398097515106,11.674402724534271,12.001811011284593,10.642826008528472,12.049832939147947,13.613174911499025,13.84610420227051,,14.332321395874024,,16.751075271606446,,16.270221588134767,,15.88398699951172,,16.540722702026365
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Primary Energy|Coal,EJ/yr,5.159388305664063,4.784226043701172,5.499497558593751,3.518029571533204,3.003881454467774,3.2309257812500003,3.60214599609375,,5.253310302734375,,7.757877990722656,,12.474295043945313,,22.89645031738281,,35.97612915039062
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Primary Energy|Fossil|w/ CCS,EJ/yr,0.0,0.0638841714859008,0.2707869338989258,0.4067616483867168,1.8638335489034648,4.256715903393226,6.739063933643745,,12.789706951340662,,17.717315124894494,,24.35724672180787,,32.326631518458015,,40.85549909992656
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Primary Energy|Fossil|w/o CCS,EJ/yr,19.93106509399414,22.337455108642576,25.384372314453124,20.456077529907223,18.33581113433838,15.36882558441162,15.778976356506348,,15.628799201965332,,23.949817798614504,,33.76676345825196,,37.43863452911377,,43.7127114944458
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Primary Energy|Gas,EJ/yr,6.906197662353517,9.053317199707031,10.358022705078126,8.911018615722655,8.806107421875,8.974185424804688,12.558993774414065,,17.904855224609378,,24.4043408203125,,30.13408911132813,,30.60418151855469,,27.14203466796875
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Primary Energy|Non-Biomass Renewables,EJ/yr,0.7353147245453187,1.2354781084140625,1.9270343170937505,2.4815028390625,3.2093139108125,4.860724961812499,6.8313426,,12.039034527000002,,16.879229241000004,,21.664966939000003,,30.312356386,,37.527896528
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Primary Energy|Nuclear,EJ/yr,0.0507994931501464,0.051570102109375,0.07021362959375,0.0667237505937499,0.101793394,0.249014794,0.487340294,,0.8457926120000001,,0.9657936,,1.31033328,,2.1771511500000003,,3.96682274
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,Primary Energy|Oil,EJ/yr,7.865479125976563,8.563795776367188,9.797639038085938,8.433789611816405,8.38965545654297,7.420429931640626,6.356899169921875,,5.260342651367187,,9.504913330078123,,15.51562939453125,,16.264632324218752,,21.45004364013672
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Capacity|Electricity|Solar|PV,GW,253.1695,321.961,405.9863125,451.42340625,448.73709375,577.831,683.9331875,,907.9526875,,683.847875,,311.277,,319.355,,435.4261875
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Capacity|Electricity|Wind,GW,246.284703125,287.75570166015626,324.0511357421875,307.5942578125,238.4253564453125,188.79638671875,156.10208984375,,167.78518359375,,162.726154296875,,151.323263671875,,151.70007470703126,,156.0062841796875
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,0.0,1.862831957017382,994.8489462646344,1848.8826285898767,2347.2629954194417,,2743.225769906227,,3076.6724956726343,,2898.396668693749,,2859.131120315093,,2603.219491720665
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Carbon Sequestration|Land Use,Mt CO2/yr,174.32250456606607,184.4578460026584,278.8191239292575,259.62671391542654,300.0612904900901,289.0482917690788,222.74231043496093,,251.3219093511492,,210.57271586782727,,179.75260691488737,,238.28275752246952,,208.47516508805552
